start, end, label
0.0, 1.0, no lyrics
1.0, 1.5, 電影
1.5, 3.5, no lyrics
3.5, 4.0, 現在
4.0, 4.5, 有沒有
4.5, 6.5, no lyrics
6.5, 7.0, 現在
7.0, 12.0, no lyrics
12.0, 12.5, 告訴
12.5, 13.0, 三年
13.0, 13.5, 開始
13.5, 20.5, no lyrics
20.5, 21.0, 開始
21.0, 21.5, no lyrics
21.5, 22.0, 這裡
22.0, 23.5, 哪裡
23.5, 24.5, 彩虹
24.5, 25.5, 告訴
25.5, 26.5, 我
26.5, 28.0, no lyrics
28.0, 29.0, 能不能
29.0, 29.5, 把
29.5, 30.0, 我的
30.0, 31.0, 願望
31.0, 32.0, 還給
32.0, 33.5, 我
33.5, 35.0, no lyrics
35.0, 36.5, 為什麼
36.5, 37.0, 天
37.0, 37.5, 這麼
37.5, 40.0, 安靜
40.0, 40.5, no lyrics
40.5, 42.0, 所有的
42.0, 43.5, 都跑到
43.5, 45.5, 這裡
45.5, 46.0, 安靜
46.0, 46.5, 正服下的
46.5, 47.5, 開始
47.5, 49.0, 有沒有
49.0, 50.0, 口罩
50.0, 50.5, 一個
50.5, 51.5, 給
51.5, 53.0, 我
53.0, 53.5, no lyrics
53.5, 54.5, 釋懷
54.5, 55.0, 說了
55.0, 56.0, 太多
56.0, 56.5, 天
56.5, 60.0, 成真不了
60.0, 60.5, no lyrics
60.5, 61.5, 也許
61.5, 62.5, 時間
62.5, 63.5, 是一種
63.5, 65.5, 解藥
65.5, 66.5, no lyrics
66.5, 67.0, 也是
67.0, 67.5, 我
67.5, 68.5, 現在
68.5, 70.0, 正服下的
70.0, 72.0, 毒藥
72.0, 72.5, no lyrics
72.5, 74.0, 看不見
74.0, 74.5, 妳的
74.5, 75.0, 笑
75.0, 75.5, 我
75.5, 76.0, 怎麼
76.0, 78.5, 睡得著
78.5, 79.0, no lyrics
79.0, 79.5, 妳
79.5, 80.0, 妳的
80.0, 81.0, 聲音
81.0, 82.0, 這麼近
82.0, 82.5, 我
82.5, 85.0, 抱不到
85.0, 85.5, no lyrics
85.5, 86.5, 沒有
86.5, 87.5, 地球
87.5, 89.0, 太陽
89.0, 89.5, 還是
89.5, 90.0, 會
90.0, 90.5, 繞
90.5, 91.0, 我
91.0, 91.5, 繞
91.5, 92.0, no lyrics
92.0, 93.0, 沒有
93.0, 94.0, 理由
94.0, 95.0, 我
95.0, 95.5, 也能
95.5, 97.0, 自己
97.0, 98.0, 走
98.0, 98.5, no lyrics
98.5, 99.0, 妳
99.0, 99.5, 要
99.5, 100.5, 離開
100.5, 101.0, no lyrics
101.0, 101.5, 我
101.5, 102.0, 知道
102.0, 104.5, 很簡單
104.5, 105.0, no lyrics
105.0, 105.5, 妳
105.5, 106.0, 說
106.0, 107.5, 依賴
107.5, 108.0, 是
108.0, 109.0, 我們的
109.0, 111.5, 阻礙
111.5, 112.5, 就算
112.5, 113.5, 放開
113.5, 114.0, no lyrics
114.0, 114.5, 但
114.5, 115.5, 能不能
115.5, 117.0, 別沒收
117.0, 117.5, 我的
117.5, 118.5, 愛
118.5, 119.0, no lyrics
119.0, 119.5, 當作
119.5, 120.0, 我
120.0, 120.5, 彩虹
120.5, 121.0, 最後
121.0, 124.0, 才明白
124.0, 125.5, no lyrics
125.5, 127.0, 有沒有
127.0, 128.0, 口罩
128.0, 128.5, 一個
