start, end, label
0.0, 15.5, no lyrics
15.5, 17.0, 我們的
17.0, 19.0, 開始
19.0, 21.0, 是很長的
21.0, 21.5, 電影
21.5, 22.0, 還在
22.0, 22.5, 放映了
22.5, 23.5, no lyrics
23.5, 24.5, 放映了
24.5, 26.0, 三年
26.0, 27.0, no lyrics
27.0, 28.0, 我票
28.0, 29.0, 都還
29.0, 30.5, 留著
30.5, 31.5, no lyrics
31.5, 32.5, 冰上的
32.5, 34.0, 芭蕾
34.0, 34.5, 開始
34.5, 35.0, no lyrics
35.0, 36.0, 腦海中
36.0, 37.0, 還在
37.0, 39.0, 旋轉
39.0, 40.0, no lyrics
40.0, 41.0, 望著
41.0, 42.0, 妳
42.0, 42.5, 慢慢
42.5, 43.0, 還在
43.0, 44.0, 忘記
44.0, 44.5, 籬笆旁的
44.5, 45.5, 妳
45.5, 47.0, no lyrics
47.0, 48.5, 朦朧的
48.5, 49.0, 時間
49.0, 49.5, 芭蕾
49.5, 50.0, 時間
50.0, 51.0, no lyrics
51.0, 51.5, 我們
51.5, 52.5, 溜了
52.5, 54.0, 多遠
54.0, 55.0, no lyrics
55.0, 56.0, 冰刀
56.0, 57.0, 劃的
57.0, 57.5, 圈
57.5, 58.5, no lyrics
58.5, 60.0, 圈起了
60.0, 60.5, 誰
60.5, 62.0, 改變
62.0, 63.0, no lyrics
63.0, 64.0, 如果
64.0, 66.5, 再重來
66.5, 67.0, no lyrics
67.0, 68.0, 會不會
68.0, 69.0, 稍嫌
69.0, 70.5, 狼狽
70.5, 71.5, no lyrics
71.5, 72.0, 愛
72.0, 73.5, 是不是
73.5, 74.0, 不開口
74.0, 74.5, 狼狽
74.5, 77.5, 才珍貴
77.5, 78.5, no lyrics
78.5, 79.5, 再給
79.5, 80.0, 我
80.0, 82.0, 兩分鐘
82.0, 82.5, no lyrics
82.5, 83.0, 讓
83.0, 83.5, 把
83.5, 84.5, 記憶
84.5, 85.5, 結成
85.5, 86.0, 冰
86.0, 88.0, 別融化了
88.0, 89.0, 眼淚
89.0, 89.5, 妳
89.5, 90.0, 妝
90.0, 91.0, 都花了
91.0, 91.5, no lyrics
91.5, 92.0, 我
92.0, 93.0, 怎麼
93.0, 95.0, 記得
95.0, 95.5, 妳
95.5, 96.0, 要
96.0, 96.5, 我
96.5, 98.0, 忘了吧
98.0, 99.0, 記得
99.0, 99.5, 妳
99.5, 100.0, 叫
100.0, 100.5, 我
100.5, 102.5, 忘了吧
102.5, 103.0, no lyrics
103.0, 104.0, 妳
104.0, 104.5, 會
104.5, 105.0, 哭
105.0, 106.0, 不是
106.0, 107.0, 因為
107.0, 109.0, 在乎
109.0, 122.5, no lyrics
122.5, 124.0, 朦朧的
124.0, 125.0, 時間
125.0, 125.5, 多遠
125.5, 126.0, no lyrics
126.0, 126.5, 開始
126.5, 127.0, 我們
127.0, 128.0, 溜了
128.0, 129.0, 多遠
129.0, 130.5, no lyrics
130.5, 131.5, 冰刀
131.5, 132.0, 劃的
132.0, 133.0, 圈
133.0, 133.5, 芭蕾
133.5, 134.0, no lyrics
134.0, 135.0, 圈起了
135.0, 136.0, 誰
136.0, 137.5, 改變
137.5, 138.0, 再重來
138.0, 138.5, no lyrics
138.5, 139.0, 如果
139.0, 141.0, 再重來
141.0, 142.5, no lyrics
142.5, 143.0, 會不會
143.0, 144.0, 稍嫌
144.0, 146.5, 狼狽
146.5, 147.0, no lyrics
147.0, 148.5, 是不是
148.5, 150.0, 不開口
150.0, 153.0, 才珍貴
153.0, 153.5, no lyrics
153.5, 154.5, 再給
154.5, 155.0, 我
155.0, 157.0, 兩分鐘
157.0, 157.5, no lyrics
157.5, 158.0, 讓
158.0, 158.5, 我
158.5, 159.0, 把
159.0, 160.0, 記憶
160.0, 161.0, 結成
161.0, 161.5, 冰
161.5, 163.5, 別融化了
163.5, 164.5, 眼淚
164.5, 165.0, 妳
165.0, 165.5, 妝
165.5, 166.5, 都花了
166.5, 167.0, 要
167.0, 167.5, 我
167.5, 168.0, 怎麼
168.0, 170.5, 記得
170.5, 171.5, 叫
171.5, 172.0, 我
172.0, 173.5, 忘了吧
173.5, 174.5, 記得
174.5, 175.5, 叫
175.5, 176.0, 我
176.0, 178.0, 忘了吧
178.0, 178.5, no lyrics
178.5, 179.0, 說
179.0, 179.5, 妳
179.5, 180.0, 會
180.0, 180.5, 哭
180.5, 181.5, 不是
181.5, 182.5, 因為
182.5, 183.0, 結成
183.0, 184.5, 在乎
184.5, 185.5, no lyrics
185.5, 186.5, 再給
186.5, 187.0, 我
187.0, 189.0, 兩分鐘
189.0, 189.5, no lyrics
189.5, 190.0, 讓
190.0, 190.5, 我
190.5, 191.0, 把
191.0, 191.5, 記憶
191.5, 192.5, 結成
192.5, 193.0, 冰
193.0, 193.5, no lyrics
193.5, 195.5, 別融化了
195.5, 196.5, 眼淚
196.5, 197.5, 妝
197.5, 198.5, 都花了
198.5, 199.0, 要
199.0, 200.0, 怎麼
200.0, 202.0, 記得
202.0, 202.5, 妳
202.5, 203.0, 叫
203.0, 203.5, 我
203.5, 205.0, 忘了吧
205.0, 205.5, no lyrics
205.5, 206.0, 記得
206.0, 206.5, 妳
206.5, 207.0, 叫
207.0, 207.5, 我
207.5, 210.0, 忘了吧
210.0, 212.5, no lyrics
212.5, 213.0, 妳
213.0, 213.5, 會
213.5, 214.0, 哭
214.0, 215.0, 不是
215.0, 216.0, 因為
216.0, 218.0, 在乎
218.0, 237.0, no lyrics
