start, end, label
0.0, 22.5, no lyrics
22.5, 23.0, 素胚
23.0, 24.0, 勾勒出
24.0, 24.5, 青花
24.5, 25.0, 筆鋒
25.0, 25.5, 濃
25.5, 26.0, 轉
26.0, 26.5, 淡
26.5, 27.0, no lyrics
27.0, 28.5, 描繪的
28.5, 29.0, 牡丹
29.0, 30.0, 一如
30.0, 31.0, 初妝
31.0, 31.5, 冉冉
31.5, 32.5, 檀香
32.5, 33.0, 透過
33.0, 33.5, 窗
33.5, 34.0, 心事
34.0, 34.5, 我
34.5, 35.5, 了然
35.5, 36.5, 宣紙上
36.5, 37.0, 走筆
37.0, 37.5, 至此
37.5, 39.5, 擱一半
39.5, 40.0, no lyrics
40.0, 40.5, 釉色
40.5, 41.5, 渲染
41.5, 42.5, 仕女圖
42.5, 43.0, 韻味
43.0, 44.5, 被私藏
44.5, 45.0, 而
45.0, 46.0, 嫣然的
46.0, 47.0, 一笑
47.0, 48.5, 含苞待放
48.5, 49.0, no lyrics
49.0, 49.5, 妳的
49.5, 50.0, 美
50.0, 51.0, 一縷飄散
51.0, 52.0, 去到
52.0, 53.5, 去不了的
53.5, 55.0, 地方
55.0, 57.5, no lyrics
57.5, 58.5, 天青色
58.5, 59.0, 等
59.0, 59.5, 煙雨
59.5, 60.0, 而
60.0, 60.5, 我
60.5, 61.0, 等
61.0, 61.5, 妳
61.5, 62.0, no lyrics
62.0, 63.0, 炊煙
63.0, 63.5, 裊裊
63.5, 64.0, 昇起
64.0, 64.5, 隔江
64.5, 66.5, 千萬里
66.5, 67.0, 在
67.0, 67.5, 瓶底
67.5, 68.0, 書
68.0, 68.5, 漢隸
68.5, 69.5, 前朝的
69.5, 70.5, 飄逸
70.5, 71.0, no lyrics
71.0, 71.5, 就當
71.5, 72.0, 我
72.0, 72.5, 為
72.5, 73.0, 遇見
73.0, 74.0, 妳
74.0, 75.0, 伏筆
75.0, 75.5, no lyrics
75.5, 76.5, 天青色
76.5, 77.5, 煙雨
77.5, 78.0, 而
78.0, 78.5, 在
78.5, 79.5, 妳
79.5, 80.0, no lyrics
80.0, 80.5, 月色
80.5, 82.0, 被打撈起
82.0, 83.0, 暈開了
83.0, 84.0, 結局
84.0, 84.5, no lyrics
84.5, 85.5, 如傳世的
85.5, 86.5, 青花瓷
86.5, 87.0, 自顧自
87.0, 88.0, 美麗
88.0, 88.5, no lyrics
88.5, 89.5, 眼帶
89.5, 90.5, 笑意
90.5, 91.0, no lyrics
91.0, 91.5, 遇見
91.5, 111.0, no lyrics
111.0, 113.0, 色白花青的
113.0, 113.5, 錦鯉
113.5, 114.5, 躍然於
114.5, 115.0, 碗底
115.0, 115.5, no lyrics
115.5, 116.0, 臨摹
116.0, 117.0, 宋體
117.0, 118.0, 落款時
118.0, 118.5, 卻
118.5, 119.0, 惦記著
119.0, 119.5, 被隱去
119.5, 120.0, no lyrics
120.0, 120.5, 妳
120.5, 121.0, 隱藏
121.0, 121.5, 在
121.5, 122.5, 窯燒裡
122.5, 123.5, 千年的
123.5, 124.0, 秘密
124.0, 124.5, 簾外
124.5, 125.5, 極細膩
125.5, 126.0, 猶如
126.0, 126.5, 繡花針
126.5, 127.0, 落地
127.0, 127.5, 韻味
127.5, 128.5, 落地
128.5, 129.0, no lyrics
129.0, 129.5, 簾外
129.5, 130.5, 芭蕉
130.5, 131.5, 驟雨
131.5, 132.0, 門環
132.0, 132.5, no lyrics
132.5, 133.0, 銅綠
133.0, 133.5, no lyrics
133.5, 134.0, 落地
134.0, 134.5, 路過
134.5, 136.5, 那江南小鎮
136.5, 137.0, 惹了
137.0, 137.5, 妳
137.5, 138.0, 在
138.0, 138.5, 潑墨
138.5, 140.5, 山水畫裡
140.5, 141.0, 從
141.0, 141.5, 墨色
141.5, 142.0, 深處
142.0, 142.5, 被隱去
142.5, 143.0, 笑意
143.0, 144.5, 被隱去
144.5, 145.0, 再重來
145.0, 147.0, no lyrics
147.0, 147.5, 天青色
147.5, 148.0, 等
148.0, 148.5, 煙雨
148.5, 149.0, 而
149.0, 149.5, 在
149.5, 150.0, 等
150.0, 150.5, 妳
150.5, 151.0, no lyrics
151.0, 151.5, 炊煙
151.5, 152.0, 裊裊
152.0, 153.0, 昇起
153.0, 153.5, 隔江
153.5, 155.0, 千萬里
155.0, 155.5, no lyrics
155.5, 156.0, 在
156.0, 156.5, 瓶底
156.5, 157.5, 漢隸
157.5, 158.5, 前朝的
158.5, 159.5, 飄逸
159.5, 160.0, no lyrics
160.0, 160.5, 就當
160.5, 161.0, 我
161.0, 162.0, 遇見
162.0, 163.0, 妳
163.0, 164.0, 伏筆
164.0, 164.5, no lyrics
164.5, 165.5, 天青色
165.5, 166.5, 煙雨
166.5, 167.0, 我
167.0, 167.5, 等
167.5, 168.5, 妳
168.5, 169.0, 很好聽
169.0, 169.5, 月色
169.5, 170.0, 被打撈起
170.0, 170.5, 朦朧的
170.5, 171.5, 暈開了
171.5, 172.5, 結局
172.5, 173.0, 被隱去
173.0, 173.5, no lyrics
173.5, 174.5, 如傳世的
174.5, 175.5, 青花瓷
175.5, 176.0, 自顧自
176.0, 177.0, 美麗
177.0, 177.5, no lyrics
177.5, 178.0, 眼帶
178.0, 179.5, 笑意
179.5, 182.5, no lyrics
182.5, 183.0, 天青色
183.0, 183.5, 等
183.5, 184.0, 煙雨
184.0, 184.5, 而
184.5, 185.0, 在
185.0, 185.5, 等
185.5, 186.0, 妳
186.0, 186.5, no lyrics
186.5, 187.5, 炊煙
187.5, 188.0, 裊裊
188.0, 188.5, 昇起
188.5, 189.0, 隔江
189.0, 190.5, 千萬里
190.5, 191.0, 在
191.0, 192.0, 瓶底
192.0, 192.5, 書
192.5, 193.0, 漢隸
193.0, 194.0, 前朝的
194.0, 195.0, 飄逸
195.0, 195.5, no lyrics
195.5, 196.0, 就當
196.0, 196.5, 我
196.5, 197.0, 為
197.0, 198.0, 遇見
198.0, 198.5, 妳
198.5, 199.5, 伏筆
199.5, 200.0, no lyrics
200.0, 201.0, 天青色
201.0, 202.0, 煙雨
202.0, 202.5, 而
202.5, 203.0, 在
203.0, 204.0, 妳
204.0, 204.5, no lyrics
204.5, 205.0, 月色
205.0, 206.0, 被打撈起
206.0, 207.5, 暈開了
207.5, 208.5, 結局
208.5, 209.0, no lyrics
209.0, 210.0, 如傳世的
210.0, 211.0, 青花瓷
211.0, 211.5, 自顧自
211.5, 212.5, 美麗
212.5, 213.0, no lyrics
213.0, 214.0, 眼帶
214.0, 215.5, 笑意
215.5, 243.0, no lyrics
